serviceName serviceLocation executionRatio parDeg
nginx_web_server clemth.irisa.fr 0.65 10
compose_post_service clemth.irisa.fr 0.65 10
unique_id_service clemth.irisa.fr 0.65 10
media_service clemth.irisa.fr 0.65 10
user_service clemth.irisa.fr 0.65 10
text_service clemth.irisa.fr 0.65 10
user_mention_service clemth.irisa.fr 0.65 10
home_timeline_service clemth.irisa.fr 0.65 10
social_graph_service clemth.irisa.fr 0.65 10
user_timeline_service clemth.irisa.fr 0.65 10
post_storage_service clemth.irisa.fr 0.65 10
url_shorten_service clemth.irisa.fr 0.65 10
default clemth.irisa.fr 0.65 10
